变量,香港均值,法国均值,差异,差异%
跨文化适应程度,23.30666666666667,22.570281124497992,-0.7363855421686765,-3.16
文化保持,5.24,4.718875502008032,-0.521124497991968,-9.95
社会保持,4.72,4.534136546184739,-0.18586345381526037,-3.94
文化接触,4.213333333333333,4.096385542168675,-0.11694779116465792,-2.78
社会接触,3.88,4.132530120481928,0.2525301204819277,6.51
家庭支持,31.64,29.313253012048193,-2.3267469879518075,-7.35
家庭沟通频率,3.1333333333333333,3.3654618473895583,0.23212851405622503,7.41
沟通坦诚度,3.1866666666666665,3.281124497991968,0.09445783132530128,2.96
自主权,4.04,7.112449799196787,3.0724497991967867,76.05
社会联结感,19.85333333333333,18.85542168674699,-0.997911646586342,-5.03
开放性,5.2,4.943775100401607,-0.25622489959839356,-4.93
