interaction,f1,f2,coef,pval,r2,abs_coef
家庭支持×开放性,家庭支持,开放性,0.5798149383888673,0.03503268326063821,0.6888710025879823,0.5798149383888673
文化接触×开放性,文化接触,开放性,0.5305470373802664,0.02117277180776215,0.691876862678919,0.5305470373802664
家庭支持×来港时长,家庭支持,来港时长,0.5225004306703784,0.057656679960555464,0.6859371863433084,0.5225004306703784
社会接触×开放性,社会接触,开放性,0.5087989503036527,0.046381294219115694,0.687212361251758,0.5087989503036527
社会接触×来港时长,社会接触,来港时长,-0.4539435678013277,0.07211723754904312,0.684638393672742,0.4539435678013277
文化保持×开放性,文化保持,开放性,0.4427868239363465,0.05932996306373874,0.6857703871787976,0.4427868239363465
社会联结感×开放性,社会联结感,开放性,0.42475183230786795,0.1435375760431088,0.6807581622053089,0.42475183230786795
家庭沟通频率×自主权,家庭沟通频率,自主权,-0.3926937612546757,0.050465325316591196,0.6867165617356097,0.3926937612546757
自主权×开放性,自主权,开放性,0.3504078651551196,0.13264747879859073,0.6811916820042696,0.3504078651551196
家庭沟通频率×开放性,家庭沟通频率,开放性,-0.3465681672029814,0.17046517152462332,0.6798266837676477,0.3465681672029814
文化保持×社会接触,文化保持,社会接触,0.34087044968714736,0.12953802204695977,0.6813226936072141,0.34087044968714736
社会保持×来港时长,社会保持,来港时长,0.3357251637581893,0.20651579807205028,0.6788121398159841,0.3357251637581893
自主权×来港时长,自主权,来港时长,0.33494961016282904,0.28195986754778835,0.6772362505856143,0.33494961016282904
沟通坦诚度×来港时长,沟通坦诚度,来港时长,0.3343015617637499,0.2342628962276662,0.6781623267691002,0.3343015617637499
社会保持×社会接触,社会保持,社会接触,0.32282316423406177,0.17378253448441436,0.6797234987115369,0.32282316423406177
社会接触×家庭支持,社会接触,家庭支持,0.31822432902875253,0.1244500245700272,0.6815446880447965,0.31822432902875253
沟通坦诚度×自主权,沟通坦诚度,自主权,-0.30516379063176685,0.09392789687434575,0.683125240879355,0.30516379063176685
文化接触×沟通坦诚度,文化接触,沟通坦诚度,-0.30322923902150145,0.16092031544437083,0.6801367103780749,0.30322923902150145
文化接触×家庭沟通频率,文化接触,家庭沟通频率,-0.2975590982709384,0.14154973161919127,0.6808345254465191,0.2975590982709384
文化保持×来港时长,文化保持,来港时长,0.2724905969776851,0.29360465217823145,0.6770392893631215,0.2724905969776851
文化保持×自主权,文化保持,自主权,-0.2703805234503669,0.1540149219086448,0.6803741776608165,0.2703805234503669
家庭沟通频率×来港时长,家庭沟通频率,来港时长,0.2660844563697993,0.3861689851071573,0.6757664569846978,0.2660844563697993
社会保持×自主权,社会保持,自主权,-0.261633182038184,0.2318027476333434,0.6782161720249409,0.261633182038184
家庭沟通频率×社会联结感,家庭沟通频率,社会联结感,0.2556996848064077,0.2709662742520775,0.6774317545406451,0.2556996848064077
开放性×来港时长,开放性,来港时长,0.25257377887841526,0.398730707378545,0.6756257951978264,0.25257377887841526
