interaction,f1,f2,coef,pval,r2,abs_coef
社会接触×来港时长,社会接触,来港时长,-0.17853255744905294,7.419413759722809e-97,0.4515893055283692,0.17853255744905294
沟通坦诚度×自主权,沟通坦诚度,自主权,-0.11977343045644294,8.453194910709193e-53,0.45047876734808634,0.11977343045644294
家庭支持×来港时长,家庭支持,来港时长,0.1048607163355699,3.0620008465935315e-43,0.45023790800973174,0.1048607163355699
社会接触×开放性,社会接触,开放性,0.09349062314786372,5.608596163815808e-33,0.44997952542325204,0.09349062314786372
自主权×来港时长,自主权,来港时长,0.08608827980295934,1.9152301955842467e-28,0.4498655187741417,0.08608827980295934
文化接触×来港时长,文化接触,来港时长,-0.08100394872837503,2.5058080719890986e-22,0.44971191057935367,0.08100394872837503
文化接触×开放性,文化接触,开放性,0.07346808801028953,2.799244459507115e-21,0.4496856255622734,0.07346808801028953
社会接触×社会联结感,社会接触,社会联结感,-0.058479271807590744,6.6936730464518e-14,0.4495010815282072,0.058479271807590744
社会联结感×开放性,社会联结感,开放性,0.05100813697592997,3.364966979239141e-11,0.4494338854665887,0.05100813697592997
文化接触×社会联结感,文化接触,社会联结感,-0.0498410474739289,4.729449627430243e-11,0.44943021741495603,0.0498410474739289
社会保持×开放性,社会保持,开放性,0.04765336920900147,9.891898801969913e-10,0.4493975084414985,0.04765336920900147
家庭支持×社会联结感,家庭支持,社会联结感,-0.04710438463662207,9.287215643647443e-10,0.4493981858948667,0.04710438463662207
文化接触×社会接触,文化接触,社会接触,-0.04610195777386777,2.505955874333117e-10,0.44941226628626374,0.04610195777386777
文化保持×开放性,文化保持,开放性,0.044971255756237144,5.1066513388508126e-09,0.4493798989472847,0.044971255756237144
家庭支持×自主权,家庭支持,自主权,-0.042995452536503845,1.8132938042075714e-08,0.44936633253007874,0.042995452536503845
沟通坦诚度×社会联结感,沟通坦诚度,社会联结感,-0.04206230304450664,6.025150803097184e-08,0.4493535032519195,0.04206230304450664
文化保持×社会接触,文化保持,社会接触,0.04182990530211257,1.0773857512045295e-07,0.44934730431068415,0.04182990530211257
文化接触×沟通坦诚度,文化接触,沟通坦诚度,-0.04137896244637659,1.120799789666323e-07,0.4493468832089632,0.04137896244637659
社会联结感×来港时长,社会联结感,来港时长,-0.03917590885229841,1.998461979962196e-06,0.4493162799878604,0.03917590885229841
家庭沟通频率×自主权,家庭沟通频率,自主权,-0.03614044680962991,4.6881439169083206e-06,0.4493072702230725,0.03614044680962991
自主权×开放性,自主权,开放性,0.03365668321446463,1.3566144928604823e-05,0.44929608146109934,0.03365668321446463
社会接触×沟通坦诚度,社会接触,沟通坦诚度,-0.03358255993384066,1.595506170510092e-05,0.44929437771571756,0.03358255993384066
家庭沟通频率×社会联结感,家庭沟通频率,社会联结感,-0.03174843135727348,5.184153755387329e-05,0.4492820384579401,0.03174843135727348
文化保持×来港时长,文化保持,来港时长,0.030274700303655484,7.63505829376021e-05,0.4492780012911525,0.030274700303655484
社会保持×沟通坦诚度,社会保持,沟通坦诚度,-0.02998468250241433,0.00013652781486692126,0.4492719583652347,0.02998468250241433
自主权×社会联结感,自主权,社会联结感,-0.02987990020758142,0.00012733457941164645,0.4492726819747942,0.02987990020758142
社会接触×家庭沟通频率,社会接触,家庭沟通频率,-0.029448849251938664,0.00016933957278630947,0.44926972488001793,0.029448849251938664
社会保持×家庭支持,社会保持,家庭支持,-0.029050057778720818,0.0001405433752607525,0.4492716575653537,0.029050057778720818
社会保持×来港时长,社会保持,来港时长,0.02768005910366929,0.0004461805270949495,0.44925972315388074,0.02768005910366929
家庭支持×沟通坦诚度,家庭支持,沟通坦诚度,-0.02739065643727661,0.00039872970607366244,0.4492608798397706,0.02739065643727661
