interaction,f1,f2,f3,coef,pval,r2,abs_coef
沟通坦诚度×自主权×开放性,沟通坦诚度,自主权,开放性,0.5875370326390128,0.03227166339935998,0.7108170244021689,0.5875370326390128
社会接触×家庭支持×社会联结感,社会接触,家庭支持,社会联结感,0.4901401583373825,0.003510020146237142,0.7127803627359977,0.4901401583373825
沟通坦诚度×社会联结感×开放性,沟通坦诚度,社会联结感,开放性,-0.4267049241503404,0.04380241908183891,0.7002473045889022,0.4267049241503404
文化接触×家庭支持×社会联结感,文化接触,家庭支持,社会联结感,0.41485282879102114,0.008362807897609011,0.7008938537486606,0.41485282879102114
社会接触×沟通坦诚度×社会联结感,社会接触,沟通坦诚度,社会联结感,0.38877201673979744,0.030463790478143012,0.6928626920731871,0.38877201673979744
文化接触×家庭支持×家庭沟通频率,文化接触,家庭支持,家庭沟通频率,0.3770309745196836,0.022430265705971314,0.7121758809878452,0.3770309745196836
文化接触×社会接触×家庭支持,文化接触,社会接触,家庭支持,0.3511375576661649,0.06219550101338431,0.6977680462172293,0.3511375576661649
社会接触×沟通坦诚度×开放性,社会接触,沟通坦诚度,开放性,-0.3495840765943007,0.08876523082284651,0.7023972487245357,0.3495840765943007
社会接触×开放性×家庭沟通频率,社会接触,开放性,家庭沟通频率,-0.34443791795589657,0.13635472207853144,0.7054658027615005,0.34443791795589657
文化接触×社会接触×自主权,文化接触,社会接触,自主权,0.343173069301029,0.059434486307301,0.6870465696212938,0.343173069301029
文化接触×自主权×社会联结感,文化接触,自主权,社会联结感,0.3214498399673622,0.03974155257053146,0.6891969952355835,0.3214498399673622
社会联结感×开放性×家庭沟通频率,社会联结感,开放性,家庭沟通频率,-0.29281979040833983,0.26879869667100686,0.7003489298335506,0.29281979040833983
家庭支持×社会联结感×家庭沟通频率,家庭支持,社会联结感,家庭沟通频率,0.27537170487967466,0.10379475464659184,0.6873011761893634,0.27537170487967466
社会接触×社会联结感×家庭沟通频率,社会接触,社会联结感,家庭沟通频率,0.26706788567503453,0.18724503702748552,0.6842985527491229,0.26706788567503453
家庭支持×自主权×家庭沟通频率,家庭支持,自主权,家庭沟通频率,0.26408332430857756,0.07680605032267192,0.7203412119055128,0.26408332430857756
社会接触×家庭支持×开放性,社会接触,家庭支持,开放性,-0.2589951735467674,0.19848306104683272,0.7072084785032964,0.2589951735467674
