interaction,f1,f2,f3,coef,pval,r2,abs_coef
社会接触×家庭支持×社会联结感,社会接触,家庭支持,社会联结感,0.3157771408827412,0.0,0.4591878394675605,0.3157771408827412
文化接触×家庭支持×社会联结感,文化接触,家庭支持,社会联结感,0.2115689019236281,2.798255572601968e-185,0.4541797605092279,0.2115689019236281
文化接触×社会接触×家庭支持,文化接触,社会接触,家庭支持,0.17995671151197296,5.491643366465403e-137,0.4528909637469093,0.17995671151197296
社会接触×自主权×社会联结感,社会接触,自主权,社会联结感,0.13744688541306896,3.6883038010047364e-71,0.4513064978085152,0.13744688541306896
社会接触×家庭支持×沟通坦诚度,社会接触,家庭支持,沟通坦诚度,0.11039871898906978,3.9675777967221105e-47,0.4505034544750166,0.11039871898906978
社会接触×沟通坦诚度×社会联结感,社会接触,沟通坦诚度,社会联结感,0.1076992664413643,1.2821680763105693e-45,0.45068282094224366,0.1076992664413643
社会接触×社会联结感×家庭沟通频率,社会接触,社会联结感,家庭沟通频率,0.10337132063864805,7.75514207416196e-41,0.4505241743579327,0.10337132063864805
文化接触×自主权×社会联结感,文化接触,自主权,社会联结感,0.10321977357869579,5.545612128184755e-44,0.45052924002788897,0.10321977357869579
文化接触×社会接触×自主权,文化接触,社会接触,自主权,0.10182210519016346,2.153883248152507e-45,0.4505174639670788,0.10182210519016346
社会接触×家庭支持×家庭沟通频率,社会接触,家庭支持,家庭沟通频率,0.10126602233112988,1.4386855010139338e-39,0.45023782446546257,0.10126602233112988
社会接触×家庭支持×开放性,社会接触,家庭支持,开放性,0.09919408799773037,2.010219950387901e-38,0.4509555077543166,0.09919408799773037
文化接触×家庭支持×沟通坦诚度,文化接触,家庭支持,沟通坦诚度,0.08619326268803881,7.40218591747163e-30,0.45008798127645777,0.08619326268803881
文化接触×社会接触×社会联结感,文化接触,社会接触,社会联结感,0.08572977581142288,3.763324184418055e-34,0.45037408769701204,0.08572977581142288
社会接触×社会联结感×开放性,社会接触,社会联结感,开放性,0.08563906612946855,1.0822679366009032e-29,0.45152813246242607,0.08563906612946855
家庭支持×沟通坦诚度×社会联结感,家庭支持,沟通坦诚度,社会联结感,0.08307770253198421,7.92703693438993e-29,0.4501767914683088,0.08307770253198421
家庭支持×社会联结感×家庭沟通频率,家庭支持,社会联结感,家庭沟通频率,0.08080585044341089,1.053941862213223e-26,0.4501065070367506,0.08080585044341089
文化接触×沟通坦诚度×社会联结感,文化接触,沟通坦诚度,社会联结感,0.07948418231076691,1.03802453106687e-26,0.45017741630588126,0.07948418231076691
社会接触×自主权×家庭沟通频率,社会接触,自主权,家庭沟通频率,0.07329185032310967,7.745719949801212e-21,0.4498584979205963,0.07329185032310967
文化接触×社会联结感×家庭沟通频率,文化接触,社会联结感,家庭沟通频率,0.07277960435792435,1.691899834583583e-22,0.44999375382940876,0.07277960435792435
社会接触×沟通坦诚度×自主权,社会接触,沟通坦诚度,自主权,0.07216809466147181,7.088858518203024e-21,0.4510386184186257,0.07216809466147181
文化接触×家庭支持×家庭沟通频率,文化接触,家庭支持,家庭沟通频率,0.07058581028697206,7.715331423929277e-21,0.44977011685902835,0.07058581028697206
文化接触×社会联结感×开放性,文化接触,社会联结感,开放性,0.06842301637271392,5.1363517158849826e-21,0.45084245134967604,0.06842301637271392
文化接触×家庭支持×开放性,文化接触,家庭支持,开放性,0.06650717492079423,4.663418982098432e-19,0.45027518287383816,0.06650717492079423
社会接触×沟通坦诚度×开放性,社会接触,沟通坦诚度,开放性,0.05510151666493376,9.363199147080275e-13,0.4505246099216541,0.05510151666493376
社会接触×开放性×家庭沟通频率,社会接触,开放性,家庭沟通频率,0.05434861828828938,2.8519306309564403e-12,0.4503462838900397,0.05434861828828938
文化接触×社会接触×开放性,文化接触,社会接触,开放性,0.054122820916636304,4.392871616388706e-14,0.4507975385565267,0.054122820916636304
文化接触×沟通坦诚度×自主权,文化接触,沟通坦诚度,自主权,0.05339208787190806,3.3746997741363487e-12,0.45077895502544996,0.05339208787190806
文化接触×自主权×家庭沟通频率,文化接触,自主权,家庭沟通频率,0.05205071821313337,2.0133428965279147e-11,0.44960109132607196,0.05205071821313337
家庭支持×社会联结感×开放性,家庭支持,社会联结感,开放性,0.051639648403393426,1.709057980002437e-12,0.450116996015569,0.051639648403393426
文化接触×沟通坦诚度×开放性,文化接触,沟通坦诚度,开放性,0.05114823612498968,2.488681426623081e-11,0.4501713052584576,0.05114823612498968
文化接触×社会接触×沟通坦诚度,文化接触,社会接触,沟通坦诚度,0.05066714246749189,1.6540350430064226e-12,0.44976420088340485,0.05066714246749189
文化接触×社会接触×家庭沟通频率,文化接触,社会接触,家庭沟通频率,0.04683774436373633,7.104205815654077e-11,0.44967271471733883,0.04683774436373633
文化接触×开放性×家庭沟通频率,文化接触,开放性,家庭沟通频率,0.04585731434436914,2.2766970693801933e-09,0.44995750515898136,0.04585731434436914
沟通坦诚度×自主权×社会联结感,沟通坦诚度,自主权,社会联结感,0.04184799440875615,4.779105843907487e-08,0.4506761631852335,0.04184799440875615
自主权×社会联结感×家庭沟通频率,自主权,社会联结感,家庭沟通频率,0.041680856838346464,1.0266983439700167e-07,0.44959382510557044,0.041680856838346464
沟通坦诚度×社会联结感×开放性,沟通坦诚度,社会联结感,开放性,0.04126014784792517,5.299973481766975e-08,0.4498182672948392,0.04126014784792517
社会接触×家庭支持×自主权,社会接触,家庭支持,自主权,0.039475191689897826,2.60485670314738e-07,0.4495211909175596,0.039475191689897826
社会联结感×开放性×家庭沟通频率,社会联结感,开放性,家庭沟通频率,0.03476885465942624,5.922670603173063e-06,0.44965524978592797,0.03476885465942624
自主权×社会联结感×开放性,自主权,社会联结感,开放性,0.03408831064862059,4.822120932662375e-06,0.4498567800865828,0.03408831064862059
沟通坦诚度×社会联结感×家庭沟通频率,沟通坦诚度,社会联结感,家庭沟通频率,0.03221204747998902,7.470652851903386e-06,0.4495041672371479,0.03221204747998902
家庭支持×自主权×社会联结感,家庭支持,自主权,社会联结感,0.03127205714182292,2.289370314847522e-05,0.4496020596545879,0.03127205714182292
文化接触×家庭支持×自主权,文化接触,家庭支持,自主权,0.03006209580765099,5.6320005121012436e-05,0.4494635596460399,0.03006209580765099
文化接触×自主权×开放性,文化接触,自主权,开放性,0.029754654049272095,7.279732838714862e-05,0.4499410513872629,0.029754654049272095
社会接触×自主权×开放性,社会接触,自主权,开放性,0.028914031725385512,0.00015328116797769974,0.45025009347180955,0.028914031725385512
家庭支持×沟通坦诚度×开放性,家庭支持,沟通坦诚度,开放性,0.028097135636447213,0.00020426810288523128,0.4494184120513789,0.028097135636447213
社会接触×沟通坦诚度×家庭沟通频率,社会接触,沟通坦诚度,家庭沟通频率,0.02706514155476631,0.00016760574433494002,0.4494180388660308,0.02706514155476631
家庭支持×沟通坦诚度×家庭沟通频率,家庭支持,沟通坦诚度,家庭沟通频率,0.025061793039224595,0.00037786398822366326,0.449391550503908,0.025061793039224595
自主权×开放性×家庭沟通频率,自主权,开放性,家庭沟通频率,0.02434590219895476,0.0017509636322786519,0.44950389776192645,0.02434590219895476
文化接触×沟通坦诚度×家庭沟通频率,文化接触,沟通坦诚度,家庭沟通频率,0.022696323090390765,0.0014363684930499394,0.44943150500184315,0.022696323090390765
家庭支持×开放性×家庭沟通频率,家庭支持,开放性,家庭沟通频率,0.02264284489366905,0.0029298872572812197,0.4492784819096871,0.02264284489366905
沟通坦诚度×自主权×开放性,沟通坦诚度,自主权,开放性,0.019812403588987844,0.009806175986412239,0.45061650506361883,0.019812403588987844
家庭支持×自主权×开放性,家庭支持,自主权,开放性,0.018531403780811084,0.011302725503768776,0.4496510096514825,0.018531403780811084
家庭支持×沟通坦诚度×自主权,家庭支持,沟通坦诚度,自主权,0.01796998142606443,0.01654040564605248,0.45055454155992625,0.01796998142606443
沟通坦诚度×自主权×家庭沟通频率,沟通坦诚度,自主权,家庭沟通频率,0.014473002335087142,0.047204344565104486,0.4505839538157379,0.014473002335087142
沟通坦诚度×开放性×家庭沟通频率,沟通坦诚度,开放性,家庭沟通频率,0.007388478668815482,0.31076153981684895,0.4493037760790708,0.007388478668815482
家庭支持×自主权×家庭沟通频率,家庭支持,自主权,家庭沟通频率,0.001945591738421946,0.7993497469942706,0.4494401778826578,0.001945591738421946
