feature,linear_r2,linear_coef,linear_p,quad_r2,quad_coef,quad_p,quad2_coef,quad2_p,full_coef,full_p,full_quad_coef,full_quad_p,full_quad2_coef,full_quad2_p
文化接触,0.3022627319531207,1.841417603753914,0.0,0.3022805634103165,1.8389100637726479,0.0,-0.010966594204923916,0.10990719912188517,0.886038549554259,0.0,0.8798563275213931,0.0,-0.02299432968214949,0.00016479681574519133
社会联结感,0.2532392605390431,1.6854873886171282,0.0,0.2533188934754177,1.6973176414246016,0.0,0.026337228316240996,0.0010924223956385295,0.7820571256895752,0.0,0.7644580637192758,0.0,-0.035261108520994344,3.767643487283689e-07
社会接触,0.2338233405669592,1.6195856472810615,0.0,0.23446658665615083,1.613552465346341,0.0,-0.07320668099890862,4.9787633844310834e-20,0.6139688462413094,0.0,0.6108681856778535,0.0,-0.04493831512491026,3.657606729751797e-11
家庭支持,0.14562495256825203,1.278138413485919,0.0,0.14568816562258835,1.2710843824080922,0.0,-0.02154406743451268,0.006526876309775446,0.5984319765115026,0.0,0.585379489684988,0.0,-0.03821400222117876,1.8888993841258996e-09
社会保持,0.09385181597273706,1.026080251821806,0.0,0.09386897835559649,1.0238033038482133,0.0,-0.011881842329087596,0.16875767875067277,-0.013464361163398199,0.21251913742251669,-0.015560889837708751,0.1518309100311868,-0.012588108106586306,0.06161156116333186
开放性,0.07611396338697907,0.9240429490535839,0.0,0.0776608884922958,0.9513399663900195,0.0,0.10538603653766644,2.5098656379895475e-38,0.21548763891832626,5.945293531087984e-132,0.24175809061975895,1.8182703304168265e-160,0.10152559300288104,1.0858839174978377e-58
文化保持,0.048501128304414554,0.7376254794519732,0.0,0.04851856864162307,0.7417259441514479,0.0,0.011557591630314706,0.17578708249092712,0.134320210900655,1.3752391466531105e-34,0.13300497913264112,2.1032611256111095e-32,-0.0034808337181696566,0.5921666822825489
自主权,0.04279179144028944,0.6928515981946963,0.0,0.042803069995091425,0.6909061830628124,0.0,-0.008841884378581629,0.2777142365029218,0.057161458377606236,1.5717579834765567e-10,0.05306526352856455,4.364655071852933e-09,-0.01825197542489969,0.003142060565946792
家庭沟通频率,0.03900085790189889,0.6614500736249284,0.0,0.039003773637314776,0.6612388011918355,0.0,-0.0045319294828914895,0.5817609121043784,0.032070083364001814,0.0012075535187672983,0.032462309775937725,0.0010568963001322423,0.007524350858425056,0.227240604450008
沟通坦诚度,0.035527734160406776,0.631311563545532,0.0,0.035687026254709986,0.6311963431382449,0.0,-0.03135259683112241,4.822165898833239e-05,0.012246030111902666,0.1981274642889945,0.012252870057575702,0.19787161482766347,-0.01079113425691761,0.06425314164556885
来港时长,0.0035054243687102637,0.19830345901732205,2.3813392989447764e-78,0.008816918842801225,0.6482585518747389,4.241387656206527e-188,-0.1666678222469524,3.0783349189597817e-118,-0.1150384306760874,2.1368171422312273e-41,-0.0008903719261092007,0.9601434127717291,-0.04020282330995274,2.955295618640908e-13
