interaction,factors,coefficient,p_value,r2_change,model_r2,model_adj_r2,aic
文化保持×家庭支持×家庭沟通频率×社会联结感,"('文化保持', '家庭支持', '家庭沟通频率', '社会联结感')",-0.5269446497141534,0.00490707583143023,0.09117012280644665,0.7642046291068428,0.6993609021112246,478.96893364033446
文化保持×自主权×社会联结感×来港时长,"('文化保持', '自主权', '社会联结感', '来港时长')",-1.3188406202046636,0.005998284609966454,0.055733301417786985,0.7287678077181832,0.6541789548406836,493.3900558986111
文化保持×社会保持×家庭支持×社会联结感,"('文化保持', '社会保持', '家庭支持', '社会联结感')",-0.5126963629261093,0.008871449125922115,0.0557309060134622,0.7287654123138584,0.6541759007001695,493.3909655456331
社会保持×家庭支持×家庭沟通频率×自主权,"('社会保持', '家庭支持', '家庭沟通频率', '自主权')",0.4724444695926945,0.01086600247279014,0.07997271813180151,0.7530072244321977,0.685084211151052,483.74759094081935
社会接触×家庭沟通频率×自主权×开放性,"('社会接触', '家庭沟通频率', '自主权', '开放性')",0.7447653794096265,0.01120903381870634,0.07562036078349377,0.74865486708389,0.6795349555319596,485.5467886262019
社会接触×家庭支持×家庭沟通频率×开放性,"('社会接触', '家庭支持', '家庭沟通频率', '开放性')",0.8902854872000171,0.011676402199310073,0.08163418918630472,0.7546686954867009,0.6872025867455437,483.0523896487798
社会接触×沟通坦诚度×自主权×开放性,"('社会接触', '沟通坦诚度', '自主权', '开放性')",0.7610145862421093,0.012932143879312286,0.08818854818619593,0.7612230544865921,0.6955593944704049,480.26317780918464
文化保持×家庭支持×自主权×开放性,"('文化保持', '家庭支持', '自主权', '开放性')",-0.8035844202135882,0.0161835264813465,0.05182323741389516,0.7248577437142913,0.6491936232357215,494.8642956581434
文化保持×社会保持×家庭支持×自主权,"('文化保持', '社会保持', '家庭支持', '自主权')",0.39057107959415127,0.02212991223000151,0.043015468316737415,0.7160499746171336,0.6379637176368453,498.10982526836426
社会保持×家庭支持×家庭沟通频率×社会联结感,"('社会保持', '家庭支持', '家庭沟通频率', '社会联结感')",-0.33886281535940876,0.02366369850968019,0.05496969394124229,0.7280042002416385,0.6532053553080891,493.67962721319907
社会接触×自主权×开放性×来港时长,"('社会接触', '自主权', '开放性', '来港时长')",-1.0049841343731365,0.025187021051589313,0.09400991077268439,0.7670444170730806,0.7029816317681777,477.72092876003853
文化保持×社会接触×自主权×社会联结感,"('文化保持', '社会接触', '自主权', '社会联结感')",-0.34361135892256933,0.03184062046221304,0.053381077980580116,0.7264155842809763,0.6511798699582447,494.27945800525777
社会接触×自主权×社会联结感×开放性,"('社会接触', '自主权', '社会联结感', '开放性')",0.6813595731417935,0.03547708833084205,0.045276627100786504,0.7183111334011827,0.6408466950865079,497.2863295764407
社会接触×家庭支持×自主权×开放性,"('社会接触', '家庭支持', '自主权', '开放性')",0.5197679088065187,0.036186503926413524,0.06635628335043309,0.7393907896508293,0.6677232568048073,489.27487164301255
社会保持×家庭沟通频率×自主权×来港时长,"('社会保持', '家庭沟通频率', '自主权', '来港时长')",0.75046947665782,0.03657232686544444,0.05600620892142272,0.7290407152218189,0.6545269119078192,493.28636752858813
文化保持×文化接触×社会接触×自主权,"('文化保持', '文化接触', '社会接触', '自主权')",-0.4508075876785166,0.037794140911812435,0.05760225766321947,0.7306367639636157,0.65656187405361,492.677866153179
社会保持×社会接触×家庭支持×社会联结感,"('社会保持', '社会接触', '家庭支持', '社会联结感')",-0.3010435089877522,0.039403301408942375,0.06862338856644268,0.7416578948668389,0.6706138159552195,488.37492856235406
文化保持×社会接触×家庭支持×社会联结感,"('文化保持', '社会接触', '家庭支持', '社会联结感')",-0.3153682342597461,0.0453609628704057,0.06922575404198317,0.7422602603423794,0.6713818319365337,488.13448735024156
社会接触×社会联结感×开放性×来港时长,"('社会接触', '社会联结感', '开放性', '来港时长')",-0.9467125647993264,0.04544293969637478,0.07146179450460832,0.7444963008050045,0.6742327835263808,487.23700437278796
文化保持×社会接触×自主权×开放性,"('文化保持', '社会接触', '自主权', '开放性')",0.5448123140111751,0.045607667059760486,0.0681982624433114,0.7412327687437076,0.6700717801482272,488.54428539838966
社会保持×社会接触×自主权×开放性,"('社会保持', '社会接触', '自主权', '开放性')",0.6467256687887938,0.0487394253739868,0.0686495527308223,0.7416840590312185,0.6706471752648036,488.3644964827466
社会接触×沟通坦诚度×社会联结感×来港时长,"('社会接触', '沟通坦诚度', '社会联结感', '来港时长')",-0.9084613221524618,0.0500315637564603,0.07495483847889606,0.7479893447792922,0.6786864145935976,485.819155961329
文化保持×家庭支持×自主权×来港时长,"('文化保持', '家庭支持', '自主权', '来港时长')",1.0504790944815223,0.055300556578476164,0.06745242780172478,0.740486934102121,0.6691208409802043,488.84073124645454
社会保持×文化接触×社会联结感×来港时长,"('社会保持', '文化接触', '社会联结感', '来港时长')",1.5709675280040574,0.060814645193460456,0.038793910242120755,0.7118284165425169,0.6325812310917092,499.6298810281478
社会接触×家庭沟通频率×社会联结感×来港时长,"('社会接触', '家庭沟通频率', '社会联结感', '来港时长')",-0.9108515809578326,0.06113279352984444,0.053922621366272905,0.7269571276666691,0.6518703377750031,494.07537383970555
社会接触×家庭沟通频率×自主权×社会联结感,"('社会接触', '家庭沟通频率', '自主权', '社会联结感')",-0.267316800459895,0.06277704328040505,0.06025437758514074,0.7332888838855369,0.6599433269540596,491.6587143151452
社会保持×社会接触×家庭支持×家庭沟通频率,"('社会保持', '社会接触', '家庭支持', '家庭沟通频率')",-0.2697774823118369,0.06383652668156078,0.0558393030568729,0.7288738093572691,0.6543141069305181,493.3497940742949
文化保持×社会保持×家庭沟通频率×社会联结感,"('文化保持', '社会保持', '家庭沟通频率', '社会联结感')",-0.34918464602071886,0.06945341785705393,0.04306383403364,0.7160983403340362,0.6380253839258961,498.09227959936595
社会接触×沟通坦诚度×自主权×社会联结感,"('社会接触', '沟通坦诚度', '自主权', '社会联结感')",-0.25597961556306703,0.0703508011331771,0.08081426958146909,0.7538487758818653,0.6861571892493783,483.39605109236675
社会保持×社会接触×自主权×来港时长,"('社会保持', '社会接触', '自主权', '来港时长')",-1.3084230190627255,0.07246794300537385,0.07724828896952318,0.7502827952699194,0.6816105639691472,484.87750187065103
文化保持×沟通坦诚度×自主权×来港时长,"('文化保持', '沟通坦诚度', '自主权', '来港时长')",0.7252453050247698,0.07319671236225059,0.052598996599794834,0.725633502900191,0.6501827161977436,494.57347863753193
社会接触×家庭支持×开放性×来港时长,"('社会接触', '家庭支持', '开放性', '来港时长')",-0.7088285224312671,0.07658704870615962,0.07474969061144054,0.7477841969118367,0.6784248510625919,485.9029684275954
