feature1,feature2,feature3,feature1_cn,feature2_cn,feature3_cn,r2,r2_improvement,coefficient
communication_honesty,cultural_maintenance,family_communication_frequency,沟通坦诚度,文化保持,家庭沟通频率,0.7584003591386588,0.045268698709138855,0.5260075498524024
communication_honesty,family_support,family_communication_frequency,沟通坦诚度,家庭支持,家庭沟通频率,0.7537200047591364,0.040588344329616444,0.4213454682625113
social_connectedness,communication_honesty,social_contact,社会联结感,沟通坦诚度,社会接触,0.7523185424182178,0.03918688198869791,0.6057556473392898
social_connectedness,family_support,social_contact,社会联结感,家庭支持,社会接触,0.7520562716844821,0.03892461125496216,0.543991075783701
social_connectedness,family_support,cultural_contact,社会联结感,家庭支持,文化接触,0.7466100370192643,0.033478376589744396,0.4061871008349282
social_contact,cultural_maintenance,social_maintenance,社会接触,文化保持,社会保持,0.7459419426299163,0.03281028220039639,0.44405450561025256
social_connectedness,cultural_maintenance,social_maintenance,社会联结感,文化保持,社会保持,0.7451240679284707,0.031992407498950826,0.40485818426883396
communication_honesty,cultural_contact,social_maintenance,沟通坦诚度,文化接触,社会保持,0.7430691570752228,0.029937496645702888,0.46753711271217685
social_connectedness,cultural_maintenance,cultural_contact,社会联结感,文化保持,文化接触,0.7420460591450135,0.028914398715493617,0.42707501654643376
social_connectedness,social_contact,cultural_maintenance,社会联结感,社会接触,文化保持,0.7402143064186362,0.02708264598911625,0.46603833422906227
social_connectedness,autonomy,cultural_contact,社会联结感,自主权,文化接触,0.7398389964178592,0.026707335988339298,0.3593828711179857
autonomy,family_support,cultural_contact,自主权,家庭支持,文化接触,0.7394301491921883,0.02629848876266838,0.21068688461947677
family_support,cultural_contact,social_maintenance,家庭支持,文化接触,社会保持,0.7390743957961672,0.025942735366647263,0.3158208899310661
months_in_hk,family_support,cultural_maintenance,来港时长,家庭支持,文化保持,0.7384315390029794,0.0252998785734595,0.552254546385986
social_connectedness,communication_honesty,cultural_contact,社会联结感,沟通坦诚度,文化接触,0.7381708267779432,0.025039166348423292,0.42999881810406987
family_support,cultural_maintenance,family_communication_frequency,家庭支持,文化保持,家庭沟通频率,0.7379025337964931,0.024770873366973145,0.2922877227767565
social_connectedness,communication_honesty,autonomy,社会联结感,沟通坦诚度,自主权,0.7374699429154552,0.02433828248593528,0.2467246687198707
cultural_maintenance,family_communication_frequency,social_maintenance,文化保持,家庭沟通频率,社会保持,0.7369790615017118,0.023847401072191854,0.4006575107184246
